,offence,Highest Offense Code,Occurred Date Time,Date,Time,LocType,Address,Zip Code,Council District,X,Y,Latitude,Longitude,Location
1,THEFT,600,03/23/2019 06:00:00 PM,23-03-2019,1800,RESIDENCE / HOME,5512 GLOUCESTER LN,78723,1,3133783,3133783,30.30220794,-97.6801768,"(30.30220794, -97.6801768)"
12,THEFT FROM PERSON,610,04-02-2019 18:00,02-04-2019,1800,STREETS / HWY / ROAD / ALLEY,SALEM WALK DR / W STASSNEY LN,78745,2,3101694,3101694,30.20920504,-97.78434414,"(30.20920504, -97.78434414)"
13,THEFT,600,04-01-2019 15:02,01-04-2019,1502,DEPARTMENT / DISCOUNT STORE,5811 BERKMAN DR,78723,4,3129661,3129661,30.31236783,-97.69296426,"(30.31236783, -97.69296426)"
18,BURGLARY OF VEHICLE,601,03/14/2019 07:39:00 PM,14-03-2019,1939,PARKING LOTS / GARAGE,4625 W WILLIAM CANNON DR,78749,8,3082868,3082868,30.22336021,-97.8435927,"(30.22336021, -97.8435927)"
21,THEFT,600,03/30/2019 07:17:00 PM,30-03-2019,1917,PARKING LOTS / GARAGE,9300 S IH 35 SVRD SB,78748,5,3100423,3100423,30.16548757,-97.78952006,"(30.16548757, -97.78952006)"
22,THEFT,600,03-05-2019 21:15,05-03-2019,2115,RESIDENCE / HOME,12229 OLD STAGE TRL,78750,6,3095024,3095024,30.45453834,-97.79902888,"(30.45453834, -97.79902888)"
24,BURGLARY OF VEHICLE,601,03/29/2019 05:00:00 PM,29-03-2019,1700,PARK / PLAYGROUND,6701 LAKEWOOD DR,78731,10,3099472,3099472,30.3659152,-97.7872499,"(30.3659152, -97.7872499)"
40,THEFT OF LICENSE PLATE,614,04-02-2019 22:00,02-04-2019,2200,RESIDENCE / HOME,1101 CLAYTON LN,78723,4,3126671,3126671,30.31804101,-97.7022879,"(30.31804101, -97.7022879)"
51,THEFT,600,03/15/2019 04:00:00 PM,15-03-2019,1600,GROCERY / SUPERMARKET,12900 N IH 35 SVRD SB,78753,7,3134231,3134231,30.41357997,-97.67568979,"(30.41357997, -97.67568979)"
66,THEFT,600,02/17/2019 08:28:00 AM,17-02-2019,828,RESIDENCE / HOME,8406 MARTIN CT,78758,4,3124682,3124682,30.35374563,-97.70762182,"(30.35374563, -97.70762182)"
89,THEFT,600,04-01-2019 17:00,01-04-2019,1700,GROCERY / SUPERMARKET,7309 CAMERON RD,78752,4,3130400,3130400,30.32823802,-97.69018692,"(30.32823802, -97.69018692)"
97,THEFT,600,04-01-2019 06:52,01-04-2019,652,HOTEL / MOTEL / ETC.,7100 N IH 35 SVRD NB,78752,4,3125988,3125988,30.33209621,-97.70407015,"(30.33209621, -97.70407015)"
101,AUTO THEFT,700,03/14/2019 01:00:00 PM,14-03-2019,1300,PARKING LOTS / GARAGE,9027 NORTHGATE BLVD,78758,4,3121782,3121782,30.369973,-97.71637849,"(30.369973, -97.71637849)"
125,BURGLARY OF VEHICLE,601,03/29/2019 10:00:00 AM,29-03-2019,1000,HOTEL / MOTEL / ETC.,11301 BURNET RD,78758,7,3120690,3120690,30.39716921,-97.71910498,"(30.39716921, -97.71910498)"
132,THEFT OF BICYCLE,609,04-02-2019 19:00,02-04-2019,1900,PARK / PLAYGROUND,2040 LOU NEFF RD,78746,8,3107188,3107188,30.26685303,-97.76541456,"(30.26685303, -97.76541456)"
139,THEFT OF LICENSE PLATE,614,03/29/2019 10:30:00 AM,29-03-2019,1030,PARKING LOTS / GARAGE,1100 REINLI ST,78723,4,3126350,3126350,30.31702008,-97.70333336,"(30.31702008, -97.70333336)"
150,THEFT BY SHOPLIFTING,607,03/30/2019 04:36:00 PM,30-03-2019,1636,SPECIALTY  STORE (TV  FUR ETC.),2901 S CAPITAL OF TEXAS HWY NB,78746,8,3094135,3094135,30.25788603,-97.80700704,"(30.25788603, -97.80700704)"
155,BURG NON RESIDENCE SHEDS,504,02/21/2019 08:00:00 AM,21-02-2019,800,RESIDENCE / HOME,10300 JOLLYVILLE RD,78759,10,3110878,3110878,30.39703797,-97.75023971,"(30.39703797, -97.75023971)"
159,THEFT BY SHOPLIFTING,607,03/31/2019 07:56:00 PM,31-03-2019,1956,GROCERY / SUPERMARKET,1801 E 51ST ST,78723,9,3127952,3127952,30.30178356,-97.69867079,"(30.30178356, -97.69867079)"
167,BURGLARY OF VEHICLE,601,03/28/2019 06:00:00 PM,28-03-2019,1800,RESIDENCE / HOME,917 E 50TH ST,78751,9,3122824,3122824,30.31056361,-97.71468653,"(30.31056361, -97.71468653)"
184,THEFT,600,03/15/2019 12:00:00 PM,15-03-2019,1200,RESIDENCE / HOME,4201 MONTEREY OAKS BLVD,78749,8,3085873,3085873,30.22850779,-97.83394268,"(30.22850779, -97.83394268)"
188,THEFT FROM PERSON,610,03/28/2019 11:00:00 PM,28-03-2019,2300,STREETS / HWY / ROAD / ALLEY,404 E 6TH ST,78701,9,3115542,3115542,30.26732068,-97.73893254,"(30.26732068, -97.73893254)"
192,THEFT OF LICENSE PLATE,614,03/20/2019 06:00:00 AM,20-03-2019,600,PARKING LOTS / GARAGE,8600 RESEARCH BLVD NB,78758,7,3121607,3121607,30.36229855,-97.71714176,"(30.36229855, -97.71714176)"
201,BURGLARY OF RESIDENCE,500,02/28/2019 04:13:00 AM,28-02-2019,413,RESIDENCE / HOME,1748 OHLEN RD,78757,7,3120645,3120645,30.36280328,-97.7201792,"(30.36280328, -97.7201792)"
207,THEFT,600,03/28/2019 08:15:00 PM,28-03-2019,2015,RESTAURANTS,2716 GUADALUPE ST,78705,9,3114436,3114436,30.29283488,-97.741752,"(30.29283488, -97.741752)"
222,AUTO THEFT,700,04-03-2019 04:50,03-04-2019,450,RESIDENCE / HOME,1405 THEODORA CV,78753,1,3138942,3138942,30.37740313,-97.66174275,"(30.37740313, -97.66174275)"
228,THEFT,600,03/14/2019 02:00:00 PM,14-03-2019,1400,STREETS / HWY / ROAD / ALLEY,500 CANYON RIDGE DR,78753,7,3135499,3135499,30.4052639,-97.67189559,"(30.4052639, -97.67189559)"
245,BURGLARY OF VEHICLE,601,03/27/2019 08:30:00 PM,27-03-2019,2030,STREETS / HWY / ROAD / ALLEY,EAST AVE / RIVER ST,78701,9,3115877,3115877,30.25758204,-97.73813288,"(30.25758204, -97.73813288)"
247,AUTO THEFT,700,03/30/2019 05:00:00 PM,30-03-2019,1700,OTHER / UNKNOWN,1120 W HOWARD LN,78660,7,3136307,3136307,30.42417759,-97.66880898,"(30.42417759, -97.66880898)"
248,THEFT OF LICENSE PLATE,614,02-11-2019 11:47,11-02-2019,1147,AUTO DEALERSHIP NEW / USED,4801 S IH 35 SVRD NB,78744,2,3110591,3110591,30.20719281,-97.75622481,"(30.20719281, -97.75622481)"
257,BURGLARY OF RESIDENCE,500,03-06-2019 11:30,06-03-2019,1130,RESIDENCE / HOME,6607 RIDGE OAK RD,78749,8,3078043,3078043,30.23061917,-97.85868743,"(30.23061917, -97.85868743)"
259,BURGLARY OF VEHICLE,601,03/31/2019 08:00:00 PM,31-03-2019,2000,RESTAURANTS,8820 BURNET RD,78757,7,3118105,3118105,30.37097722,-97.72801438,"(30.37097722, -97.72801438)"
279,THEFT,600,02-01-2019 15:24,01-02-2019,1524,OTHER / UNKNOWN,5621 N IH 35 SVRD NB,78723,4,3125467,3125467,30.31639298,-97.70614968,"(30.31639298, -97.70614968)"
280,BURGLARY OF RESIDENCE,500,03/28/2019 10:00:00 AM,28-03-2019,1000,HOTEL / MOTEL / ETC.,78 N IH 35 SVRD SB,78701,9,3115961,3115961,30.25918198,-97.73782374,"(30.25918198, -97.73782374)"
282,AUTO THEFT,700,03/29/2019 04:00:00 PM,29-03-2019,1600,RESIDENCE / HOME,10001 S 1ST ST,78748,5,3097404,3097404,30.16103971,-97.79919221,"(30.16103971, -97.79919221)"
293,THEFT,600,03/25/2019 08:25:00 AM,25-03-2019,825,RESIDENCE / HOME,6401 RIALTO BLVD,78735,8,3077793,3077793,30.24990978,-97.85898502,"(30.24990978, -97.85898502)"
294,BURGLARY NON RESIDENCE,502,01/22/2019 08:09:00 AM,22-01-2019,809,OTHER / UNKNOWN,56 EAST AVE,78701,9,3115755,3115755,30.25709508,-97.73853249,"(30.25709508, -97.73853249)"
298,AGG ROBBERY/DEADLY WEAPON,300,04-03-2019 02:04,03-04-2019,204,CONVENIENCE STORE,606 W SLAUGHTER LN,78748,2,3097155,3097155,30.1729276,-97.79966865,"(30.1729276, -97.79966865)"
300,THEFT,600,03-03-2019 19:00,03-03-2019,1900,RESIDENCE / HOME,9010 GALEWOOD DR,78758,4,3122208,3122208,30.36794153,-97.71508242,"(30.36794153, -97.71508242)"
301,BURGLARY NON RESIDENCE,502,03/26/2019 04:00:00 PM,26-03-2019,1600,PARKING LOTS / GARAGE,306 W 29TH ST,78705,9,3114742,3114742,30.29458003,-97.74073531,"(30.29458003, -97.74073531)"
310,BURGLARY OF VEHICLE,601,04-01-2019 07:00,01-04-2019,700,RESIDENCE / HOME,6103 PARKWOOD DR,78735,8,3079103,3079103,30.23859208,-97.85512559,"(30.23859208, -97.85512559)"
325,BURG NON RESIDENCE SHEDS,504,03/30/2019 11:00:00 PM,30-03-2019,2300,COMMERCIAL / OFFICE BUILDING,500 VFW RD,78753,1,3136831,3136831,30.39204511,-97.66803451,"(30.39204511, -97.66803451)"
327,BURG NON RESIDENCE SHEDS,504,04-03-2019 11:01,03-04-2019,1101,RESIDENCE / HOME,2223 WATERLOO CITY LN,78741,3,3120595,3120595,30.24193459,-97.72360831,"(30.24193459, -97.72360831)"
340,CAPITAL MURDER,101,03/24/2019 12:29:00 AM,24-03-2019,29,RESIDENCE / HOME,1215 SOUTHPORT DR,78704,3,3103997,3103997,30.23174055,-97.77645505,"(30.23174055, -97.77645505)"
343,BURGLARY OF VEHICLE,601,04-03-2019 14:20,03-04-2019,1420,OTHER / UNKNOWN,2700 W ANDERSON LN,78757,7,3116129,3116129,30.35905882,-97.73460323,"(30.35905882, -97.73460323)"
345,AGG ROBBERY/DEADLY WEAPON,300,01/27/2019 10:32:00 AM,27-01-2019,1032,CONVENIENCE STORE,1600 OHLEN RD,78758,4,3122157,3122157,30.36436584,-97.71534125,"(30.36436584, -97.71534125)"
366,THEFT OF BICYCLE,609,03/29/2019 09:10:00 PM,29-03-2019,2110,FIELD / WOODS,2131 WILLIAM BARTON DR,78746,8,3105587,3105587,30.26446407,-97.77055069,"(30.26446407, -97.77055069)"
382,THEFT,600,03-02-2019 20:00,02-03-2019,2000,RESIDENCE / HOME,7900 SAN FELIPE BLVD,78729,6,3104909,3104909,30.43823849,-97.76808164,"(30.43823849, -97.76808164)"
383,BURGLARY OF VEHICLE,601,03/27/2019 02:30:00 AM,27-03-2019,230,HOTEL / MOTEL / ETC.,4415 S IH 35 SVRD NB,78744,2,3111493,3111493,30.21208599,-97.75323792,"(30.21208599, -97.75323792)"
390,BURGLARY OF VEHICLE,601,03/31/2019 02:00:00 AM,31-03-2019,200,PARKING LOTS / GARAGE,107 E 31ST ST,78705,9,3116111,3116111,30.2945912,-97.7363961,"(30.2945912, -97.7363961)"
391,THEFT,600,03/20/2019 08:00:00 PM,20-03-2019,2000,RESIDENCE / HOME,7016 COLONY LOOP DR,78724,1,3147041,3147041,30.30224154,-97.63815199,"(30.30224154, -97.63815199)"
395,BURGLARY OF VEHICLE,601,04-01-2019 00:00,01-04-2019,0,PARKING LOTS / GARAGE,12430 METRIC BLVD,78758,7,3129178,3129178,30.41203617,-97.69176701,"(30.41203617, -97.69176701)"
398,THEFT,600,04-02-2019 19:38,02-04-2019,1938,RESIDENCE / HOME,11819 PAVILION BLVD,78759,10,3108986,3108986,30.42451812,-97.75550782,"(30.42451812, -97.75550782)"
405,BURGLARY OF VEHICLE,601,03/29/2019 09:00:00 PM,29-03-2019,2100,PARK / PLAYGROUND,3800 MOUNT BONNELL RD,78731,10,3104170,3104170,30.32104847,-97.77354003,"(30.32104847, -97.77354003)"
442,AUTO THEFT,700,03/20/2019 09:30:00 AM,20-03-2019,930,RESIDENCE / HOME,3401 W PARMER LN,78727,7,3123458,3123458,30.4209215,-97.70967635,"(30.4209215, -97.70967635)"
452,THEFT BY SHOPLIFTING,607,03-02-2019 16:14,02-03-2019,1614,DEPARTMENT / DISCOUNT STORE,10515 N MOPAC EXPY SVRD NB,78758,7,3116529,3116529,30.39417998,-97.73238754,"(30.39417998, -97.73238754)"
456,BURGLARY OF VEHICLE,601,03/29/2019 09:20:00 PM,29-03-2019,2120,STREETS / HWY / ROAD / ALLEY,2901 S CAPITAL OF TEXAS HWY NB,78746,8,3094135,3094135,30.25788603,-97.80700704,"(30.25788603, -97.80700704)"
457,THEFT OF LICENSE PLATE,614,03/30/2019 07:00:00 PM,30-03-2019,1900,RESIDENCE / HOME,422 W RIVERSIDE DR,78704,9,3112526,3112526,30.25952831,-97.74869734,"(30.25952831, -97.74869734)"
461,THEFT BY SHOPLIFTING,607,04-05-2019 16:51,05-04-2019,1651,DEPARTMENT / DISCOUNT STORE,13201 N FM 620 RD NB,78729,6,3096967,3096967,30.46793555,-97.79250733,"(30.46793555, -97.79250733)"
465,THEFT,600,02/17/2019 06:15:00 PM,17-02-2019,1815,GAS / SERVICE STATIONS,11139 N IH 35 SVRD NB,78753,1,3134572,3134572,30.37577226,-97.67565006,"(30.37577226, -97.67565006)"
467,BURGLARY OF VEHICLE,601,03/27/2019 07:00:00 PM,27-03-2019,1900,PARKING LOTS / GARAGE,1003 JUSTIN LN,78757,7,3120344,3120344,30.33753609,-97.72181802,"(30.33753609, -97.72181802)"
472,ROBBERY BY ASSAULT,303,04-01-2019 09:00,01-04-2019,900,PARKING LOTS / GARAGE,5355 N IH 35 SVRD NB,78723,4,3125141,3125141,30.31321176,-97.70726972,"(30.31321176, -97.70726972)"
476,AUTO THEFT,700,02/20/2019 08:30:00 PM,20-02-2019,2030,PARKING LOTS / GARAGE,3201 DUVAL RD,78759,7,3120715,3120715,30.40943021,-97.71869315,"(30.40943021, -97.71869315)"
477,BURGLARY NON RESIDENCE,502,02/24/2019 03:58:00 AM,24-02-2019,358,COMMERCIAL / OFFICE BUILDING,1810 RUTHERFORD LN,78754,1,3133642,3133642,30.33128317,-97.67982429,"(30.33128317, -97.67982429)"
480,THEFT,600,03/30/2019 02:19:00 PM,30-03-2019,1419,OTHER / UNKNOWN,1700 TERI RD,78744,2,3110784,3110784,30.20524259,-97.75566571,"(30.20524259, -97.75566571)"
501,AUTO THEFT,700,04-04-2019 01:30,04-04-2019,130,RESIDENCE / HOME,1107 SAUCEDO ST,78721,3,3130991,3130991,30.26601012,-97.69001801,"(30.26601012, -97.69001801)"
509,BURGLARY OF VEHICLE,601,03/29/2019 03:15:00 PM,29-03-2019,1515,PARKING LOTS / GARAGE,9761 GREAT HILLS TRL,78759,10,3110715,3110715,30.3939559,-97.75083942,"(30.3939559, -97.75083942)"
513,THEFT BY SHOPLIFTING,607,02/25/2019 05:00:00 PM,25-02-2019,1700,LIQUOR STORE,11521 N FM 620 RD,78726,6,3086560,3086560,30.45465335,-97.82589577,"(30.45465335, -97.82589577)"
517,BURGLARY OF RESIDENCE,500,04-03-2019 13:18,03-04-2019,1318,RESIDENCE / HOME,9705 TEASDALE TER,78753,4,3133792,3133792,30.35800835,-97.67861332,"(30.35800835, -97.67861332)"
542,THEFT,600,04-04-2019 17:36,04-04-2019,1736,DEPARTMENT / DISCOUNT STORE,12900 N IH 35 SVRD SB,78753,7,3134231,3134231,30.41357997,-97.67568979,"(30.41357997, -97.67568979)"
552,THEFT,600,02/18/2019 03:00:00 PM,18-02-2019,1500,DEPARTMENT / DISCOUNT STORE,2510 W PARMER LN,78727,7,3125820,3125820,30.41959711,-97.70221653,"(30.41959711, -97.70221653)"
560,THEFT,600,03/28/2019 03:10:00 PM,28-03-2019,1510,DRUG STORE / DR. OFFICE / HOSPITAL,7739 NORTHCROSS DR,78757,7,3115594,3115594,30.35597872,-97.73638293,"(30.35597872, -97.73638293)"
570,THEFT OF LICENSE PLATE,614,04-01-2019 19:00,01-04-2019,1900,STREETS / HWY / ROAD / ALLEY,8812 TALLWOOD DR,78759,10,3113506,3113506,30.38016234,-97.74235521,"(30.38016234, -97.74235521)"
573,AUTO THEFT,700,03-12-2019 08:20,12-03-2019,820,RESIDENCE / HOME,7310 SALT SPRINGS DR,78744,2,3115688,3115688,30.16659686,-97.74117437,"(30.16659686, -97.74117437)"
577,THEFT,600,02/27/2019 12:00:00 AM,27-02-2019,0,COMMERCIAL / OFFICE BUILDING,2001 S LAMAR BLVD,78704,5,3106743,3106743,30.248879,-97.76730226,"(30.248879, -97.76730226)"
593,THEFT,600,03-06-2019 18:21,06-03-2019,1821,RESIDENCE / HOME,11308 WET SEASON DR,78754,1,3141777,3141777,30.37361744,-97.65285487,"(30.37361744, -97.65285487)"
609,THEFT BY SHOPLIFTING,607,03/27/2019 06:31:00 PM,27-03-2019,1831,OTHER / UNKNOWN,5017 W US 290 HWY SVRD EB,78749,8,3089371,3089371,30.23395667,-97.82272228,"(30.23395667, -97.82272228)"
646,THEFT,600,03/28/2019 05:15:00 PM,28-03-2019,1715,RESIDENCE / HOME,212 W WILLIAM CANNON DR,78745,2,3102658,3102658,30.1945891,-97.78167764,"(30.1945891, -97.78167764)"
661,THEFT,600,03/15/2019 06:00:00 AM,15-03-2019,600,COMMERCIAL / OFFICE BUILDING,419 E 6TH ST,78701,9,3115622,3115622,30.26664758,-97.73869715,"(30.26664758, -97.73869715)"
669,AGG ASSAULT FAM/DATE VIOLENCE,402,03/30/2019 06:30:00 PM,30-03-2019,1830,PARKING LOTS / GARAGE,10707 LAKE CREEK PKWY,78750,6,3092956,3092956,30.45475017,-97.80558843,"(30.45475017, -97.80558843)"
676,BURGLARY OF VEHICLE,601,03/30/2019 05:30:00 AM,30-03-2019,530,PARKING LOTS / GARAGE,91 RAINEY ST,78701,9,3115917,3115917,30.26020462,-97.73793566,"(30.26020462, -97.73793566)"
694,THEFT,600,03/30/2019 09:30:00 AM,30-03-2019,930,OTHER / UNKNOWN,110 SAN ANTONIO ST,78701,9,3112329,3112329,30.26529698,-97.74916709,"(30.26529698, -97.74916709)"
698,BURGLARY OF RESIDENCE,500,03/25/2019 08:22:00 AM,25-03-2019,822,RESIDENCE / HOME,9705 MOUNTAIN QUAIL RD,78758,4,3124457,3124457,30.373244,-97.70780463,"(30.373244, -97.70780463)"
701,BURGLARY NON RESIDENCE,502,03/14/2019 12:44:00 PM,14-03-2019,1244,CONSTRUCTION SITE,1901 FORD ST,78704,5,3105203,3105203,30.2530064,-97.77207131,"(30.2530064, -97.77207131)"
711,AUTO THEFT,700,03-10-2019 21:00,10-03-2019,2100,PARKING LOTS / GARAGE,1700 E 4TH ST,78702,3,3119947,3119947,30.26084984,-97.72515009,"(30.26084984, -97.72515009)"
716,THEFT,600,03-01-2019 16:30,01-03-2019,1630,AMUSEMENT PARK,13609 N IH 35 NB,78753,7,3135452,3135452,30.42338723,-97.67154433,"(30.42338723, -97.67154433)"
750,THEFT,600,03/27/2019 04:33:00 PM,27-03-2019,1633,SPECIALTY  STORE (TV  FUR ETC.),1200 BARBARA JORDAN BLVD,78723,9,3124570,3124570,30.3073828,-97.70923831,"(30.3073828, -97.70923831)"
765,THEFT BY SHOPLIFTING,607,03/24/2019 12:11:00 AM,24-03-2019,11,GAS / SERVICE STATIONS,2101 WICKERSHAM LN,78741,3,3121768,3121768,30.23177618,-97.72016752,"(30.23177618, -97.72016752)"
773,ROBBERY BY THREAT,305,02-05-2019 19:14,05-02-2019,1914,DEPARTMENT / DISCOUNT STORE,9717 N LAMAR BLVD,78753,4,3128703,3128703,30.36582905,-97.69453919,"(30.36582905, -97.69453919)"
774,AUTO THEFT,700,02/21/2019 12:23:00 AM,21-02-2019,23,PARKING LOTS / GARAGE,54 RAINEY ST,78701,9,3115465,3115465,30.25737481,-97.73944374,"(30.25737481, -97.73944374)"
775,THEFT FROM AUTO,603,03/28/2019 12:01:00 AM,28-03-2019,1,HOTEL / MOTEL / ETC.,701 E STASSNEY LN,78745,3,3106653,3106653,30.20037025,-97.76887566,"(30.20037025, -97.76887566)"
779,THEFT,600,04-01-2019 12:59,01-04-2019,1259,GROCERY / SUPERMARKET,2508 E RIVERSIDE DR,78741,3,3120958,3120958,30.23581427,-97.72262391,"(30.23581427, -97.72262391)"
783,THEFT,600,03/26/2019 09:25:00 PM,26-03-2019,2125,RESIDENCE / HOME,625 KINGFISHER CREEK DR,78748,5,3092243,3092243,30.15114715,-97.81578431,"(30.15114715, -97.81578431)"
794,THEFT FROM AUTO,603,03/22/2019 12:18:00 AM,22-03-2019,18,OTHER / UNKNOWN,3100 FALLWELL LN,78617,2,3149002,3149002,30.20530157,-97.63464699,"(30.20530157, -97.63464699)"
796,THEFT FROM PERSON,610,03/30/2019 11:30:00 PM,30-03-2019,2330,SCHOOLS / COLLEGES,2515 LEON ST,78705,9,3112232,3112232,30.29049364,-97.74879991,"(30.29049364, -97.74879991)"
808,THEFT FROM AUTO,603,04-01-2019 12:08,01-04-2019,1208,PARKING LOTS / GARAGE,2220 BARTON SPRINGS RD,78746,8,3105015,3105015,30.26855761,-97.77225442,"(30.26855761, -97.77225442)"
817,THEFT OF METAL,619,02-07-2019 03:30,07-02-2019,330,CONSTRUCTION SITE,5111 EILERS AVE,78751,9,3122193,3122193,30.31351545,-97.71660672,"(30.31351545, -97.71660672)"
821,DEADLY CONDUCT,408,03/17/2019 12:20:00 AM,17-03-2019,20,RESIDENCE / HOME,8112 ALMONDSBURY LN,78748,2,3097620,3097620,30.1845069,-97.79789295,"(30.1845069, -97.79789295)"
828,THEFT,600,02/23/2019 09:24:00 PM,23-02-2019,2124,ABANDONED/CONDEMNED STRUCTURE,10707 LAKE CREEK PKWY,78750,6,3092956,3092956,30.45475017,-97.80558843,"(30.45475017, -97.80558843)"
837,BURGLARY NON RESIDENCE,502,01-06-2019 05:50,06-01-2019,550,LIQUOR STORE,1104 N LAMAR BLVD,78703,9,3111358,3111358,30.27632687,-97.75194872,"(30.27632687, -97.75194872)"
839,THEFT,600,03/18/2019 02:24:00 PM,18-03-2019,1424,OTHER / UNKNOWN,1107 E 6TH ST,78702,3,3118020,3118020,30.26447319,-97.73115774,"(30.26447319, -97.73115774)"
842,BURGLARY NON RESIDENCE,502,04-04-2019 11:47,04-04-2019,1147,COMMERCIAL / OFFICE BUILDING,1730 E OLTORF ST,78741,9,3116318,3116318,30.23292142,-97.73739875,"(30.23292142, -97.73739875)"
849,AGG ASSAULT,402,03/31/2019 11:11:00 AM,31-03-2019,1111,STREETS / HWY / ROAD / ALLEY,2320 E RIVERSIDE DR,78741,3,3120125,3120125,30.23754203,-97.72521576,"(30.23754203, -97.72521576)"
873,BURGLARY NON RESIDENCE,502,01/30/2019 11:00:00 PM,30-01-2019,2300,PARKING LOTS / GARAGE,405 N LAMAR BLVD,78703,9,3110627,3110627,30.26948487,-97.75444788,"(30.26948487, -97.75444788)"
880,THEFT,600,03/16/2019 03:14:00 PM,16-03-2019,1514,CONSTRUCTION SITE,3100 NORTHEAST DR,78723,1,3135878,3135878,30.31061644,-97.67330454,"(30.31061644, -97.67330454)"
896,BURGLARY NON RESIDENCE,502,03/24/2019 02:10:00 PM,24-03-2019,1410,RENTAL STORAGE FACILITY,8956 RESEARCH BLVD SB,78757,7,3119348,3119348,30.37123798,-97.72406463,"(30.37123798, -97.72406463)"
909,THEFT BY SHOPLIFTING,607,02/23/2019 11:35:00 AM,23-02-2019,1135,LIQUOR STORE,900 E BRAKER LN,78753,1,3135284,3135284,30.37685523,-97.67336164,"(30.37685523, -97.67336164)"
912,THEFT,600,03/28/2019 05:50:00 PM,28-03-2019,1750,RESIDENCE / HOME,8405 BENT TREE RD,78759,10,3113277,3113277,30.37229327,-97.743293,"(30.37229327, -97.743293)"
916,THEFT,600,03/22/2019 03:30:00 PM,22-03-2019,1530,RESIDENCE / HOME,7001 OAK MEADOW DR,78736,8,3072209,3072209,30.23262125,-97.87711403,"(30.23262125, -97.87711403)"
920,THEFT,600,03-02-2019 12:35,02-03-2019,1235,GAS / SERVICE STATIONS,9411 DESSAU RD,78754,1,3135012,3135012,30.35185336,-97.67491371,"(30.35185336, -97.67491371)"
927,AUTO THEFT,700,03/25/2019 02:00:00 AM,25-03-2019,200,STREETS / HWY / ROAD / ALLEY,8000 BLOCK PURNELL DR,78753,4,3125196,3125196,30.34601827,-97.70620221,"(30.34601827, -97.70620221)"
931,BURGLARY OF VEHICLE,601,03/29/2019 01:00:00 AM,29-03-2019,100,OTHER / UNKNOWN,6805 WOOD HOLLOW DR,78731,10,3109874,3109874,30.35053897,-97.75466881,"(30.35053897, -97.75466881)"
953,BURGLARY OF VEHICLE,601,03/15/2019 09:45:00 PM,15-03-2019,2145,OTHER / UNKNOWN,917 E 46TH ST,78751,9,3122125,3122125,30.30535031,-97.71704366,"(30.30535031, -97.71704366)"
970,THEFT BY SHOPLIFTING,607,03/30/2019 09:37:00 AM,30-03-2019,937,GROCERY / SUPERMARKET,2525 W ANDERSON LN,78757,7,3116494,3116494,30.35547011,-97.73354236,"(30.35547011, -97.73354236)"
971,BURGLARY OF RESIDENCE,500,03-12-2019 00:00,12-03-2019,0,RESIDENCE / HOME,1515 WICKERSHAM LN,78741,3,3122306,3122306,30.23496305,-97.7183772,"(30.23496305, -97.7183772)"
993,BURGLARY NON RESIDENCE,502,01/13/2019 04:30:00 AM,13-01-2019,430,BAR / NIGHT CLUB,419 E 6TH ST,78701,9,3115622,3115622,30.26664758,-97.73869715,"(30.26664758, -97.73869715)"
996,THEFT,600,03/30/2019 06:00:00 PM,30-03-2019,1800,RESIDENCE / HOME,2220 INDEPENDENCE DR,78745,5,3095145,3095145,30.2143495,-97.80494728,"(30.2143495, -97.80494728)"
997,THEFT,600,02/21/2019 08:49:00 PM,21-02-2019,2049,RESTAURANTS,201 E OLTORF ST,78704,9,3111508,3111508,30.23777846,-97.75250399,"(30.23777846, -97.75250399)"
998,BURGLARY OF VEHICLE,601,03/31/2019 07:00:00 AM,31-03-2019,700,OTHER / UNKNOWN,6315 E US 290 HWY SVRD EB,78723,1,3127313,3127313,30.32138581,-97.70016136,"(30.32138581, -97.70016136)"
1000,THEFT,600,03/31/2019 02:00:00 AM,31-03-2019,200,RESIDENCE / HOME,2405 INDEPENDENCE DR,78745,5,3094533,3094533,30.21475058,-97.80687482,"(30.21475058, -97.80687482)"
1004,AGG ASLT STRANGLE/SUFFOCATE,410,03/30/2019 12:01:00 AM,30-03-2019,1,RESIDENCE / HOME,12803 TOMANET TRL,78727,7,3127261,3127261,30.42283492,-97.69755493,"(30.42283492, -97.69755493)"
1008,AUTO THEFT,700,03/30/2019 01:29:00 PM,30-03-2019,1329,RESIDENCE / HOME,8623 PUTNAM DR,78757,7,3120652,3120652,30.36668419,-97.72005184,"(30.36668419, -97.72005184)"
1009,THEFT,600,04-03-2019 16:48,03-04-2019,1648,GAS / SERVICE STATIONS,710 E BEN WHITE BLVD SVRD WB,78704,3,3111061,3111061,30.2200027,-97.75439457,"(30.2200027, -97.75439457)"
1017,BURGLARY OF VEHICLE,601,02/25/2019 02:12:00 AM,25-02-2019,212,RESIDENCE / HOME,5208 SAMUEL HUSTON AVE,78721,1,3135022,3135022,30.28143908,-97.67682126,"(30.28143908, -97.67682126)"
1019,THEFT,600,02-11-2019 14:57,11-02-2019,1457,OTHER / UNKNOWN,1504 HOLSTEIN DR,78758,7,3127221,3127221,30.38998067,-97.69857995,"(30.38998067, -97.69857995)"
1020,THEFT,600,03/26/2019 03:06:00 PM,26-03-2019,1506,RESIDENCE / HOME,4800 WEST GATE BLVD,78745,5,3095882,3095882,30.22810549,-97.80225296,"(30.22810549, -97.80225296)"
