,offence,Highest Offense Code,Occurred Date Time,Date,Time,LocType,Address,Zip Code,Council District,X,Y,Latitude,Longitude,Location
36420,BURGLARY OF VEHICLE,601,03-12-2019 00:00,12-03-2019,0,PARKING LOTS / GARAGE,101 COLORADO ST,78701,9,3113537,3113537,30.26388108,-97.74537758,"(30.26388108, -97.74537758)"
36423,THEFT,600,03-01-2019 14:45,01-03-2019,1445,GAS / SERVICE STATIONS,912 S LAMAR BLVD,78704,5,3108500,3108500,30.25651647,-97.76153288,"(30.25651647, -97.76153288)"
36440,ROBBERY BY THREAT,305,03-10-2019 22:31,10-03-2019,2231,CONVENIENCE STORE,6515 S IH 35 SVRD NB,78744,2,3106560,3106560,30.19049955,-97.76943208,"(30.19049955, -97.76943208)"
36452,BURGLARY OF VEHICLE,601,03-08-2019 19:30,08-03-2019,1930,STREETS / HWY / ROAD / ALLEY,EAST AVE / LAMBIE ST,78701,9,3115776,3115776,30.25660993,-97.73847899,"(30.25660993, -97.73847899)"
36478,THEFT OF BICYCLE,609,03-11-2019 18:15,11-03-2019,1815,PARKING LOTS / GARAGE,405 RED RIVER ST,78701,9,3115989,3115989,30.26484554,-97.73758277,"(30.26484554, -97.73758277)"
36489,BURGLARY OF RESIDENCE,500,03-07-2019 11:03,07-03-2019,1103,RESIDENCE / HOME,407 E 45TH ST,78751,9,3119472,3119472,30.30685202,-97.72541245,"(30.30685202, -97.72541245)"
36516,BURGLARY NON RESIDENCE,502,03-05-2019 09:00,05-03-2019,900,RESIDENCE / HOME,3907 BALCONES WOODS DR,78759,7,3117012,3117012,30.40498216,-97.73056353,"(30.40498216, -97.73056353)"
36521,THEFT,600,01/26/2019 08:30:00 PM,26-01-2019,2030,DRUG STORE / DR. OFFICE / HOSPITAL,12221 N MOPAC EXPY SVRD NB,78758,7,3124635,3124635,30.4142479,-97.70612296,"(30.4142479, -97.70612296)"
36536,THEFT,600,01/23/2019 04:00:00 PM,23-01-2019,1600,PARKING LOTS / GARAGE,12901 N IH 35 SVRD NB,78753,7,3135967,3135967,30.41525806,-97.67013449,"(30.41525806, -97.67013449)"
36546,THEFT OF BICYCLE,609,03-09-2019 22:20,09-03-2019,2220,PARKING LOTS / GARAGE,5200 N LAMAR BLVD,78756,7,3117739,3117739,30.31978422,-97.73055693,"(30.31978422, -97.73055693)"
36577,THEFT BY SHOPLIFTING,607,03-04-2019 14:30,04-03-2019,1430,GROCERY / SUPERMARKET,5800 W SLAUGHTER LN,78749,8,3072565,3072565,30.20259804,-97.87675015,"(30.20259804, -97.87675015)"
